"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Storage","Storage Media","usageType","operation","Compute type","ECU","Memory (GiB)","Region Code","serviceName"
"3ECW55NN9AHDHV2X","HU7G6KETJZ","3ECW55NN9AHDHV2X.HU7G6KETJZ.6YS6EN2CT7","Reserved","AmazonOpenSearchService, i4g.large.search reserved instance applied","2024-09-01","0","Inf","Hrs","0.0830000000","USD","1yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","i4g.large.search","Yes","Storage optimized","2","1 x 468 Nitro SSD",,"USW2-ESInstance:i4g.large","ESDomain",,"variable","16","us-west-2","Amazon OpenSearch Service"
"3ECW55NN9AHDHV2X","HU7G6KETJZ","3ECW55NN9AHDHV2X.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2024-09-01",,,"Quantity","725","USD","1yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","i4g.large.search","Yes","Storage optimized","2","1 x 468 Nitro SSD",,"USW2-ESInstance:i4g.large","ESDomain",,"variable","16","us-west-2","Amazon OpenSearch Service"
"3ECW55NN9AHDHV2X","JRTCKXETXF","3ECW55NN9AHDHV2X.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD $0.247/Hr i4g.large.search - US West (Oregon)","2024-10-01","0","Inf","Hrs","0.2470000000","USD",,,,"Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","i4g.large.search","Yes","Storage optimized","2","1 x 468 Nitro SSD",,"USW2-ESInstance:i4g.large","ESDomain",,"variable","16","us-west-2","Amazon OpenSearch Service"
"3ECW55NN9AHDHV2X","NQ3QZPMQV9","3ECW55NN9AHDHV2X.NQ3QZPMQV9.6YS6EN2CT7","Reserved","AmazonOpenSearchService, i4g.large.search reserved instance applied","2024-09-01","0","Inf","Hrs","0.0000000000","USD","3yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","i4g.large.search","Yes","Storage optimized","2","1 x 468 Nitro SSD",,"USW2-ESInstance:i4g.large","ESDomain",,"variable","16","us-west-2","Amazon OpenSearch Service"
"3ECW55NN9AHDHV2X","NQ3QZPMQV9","3ECW55NN9AHDHV2X.NQ3QZPMQV9.2TG2D8R56U","Reserved","Upfront Fee","2024-09-01",,,"Quantity","3116","USD","3yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","i4g.large.search","Yes","Storage optimized","2","1 x 468 Nitro SSD",,"USW2-ESInstance:i4g.large","ESDomain",,"variable","16","us-west-2","Amazon OpenSearch Service"
"3GMPPYFTJUUU4JCC","38NPMPTW36","3GMPPYFTJUUU4JCC.38NPMPTW36.6YS6EN2CT7","Reserved","AmazonOpenSearchService, r7g.2xlarge.search reserved instance applied","2024-08-01","0","Inf","Hrs","0.1780000000","USD","3yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","r7g.2xlarge.search","Yes","Memory optimized","8","EBS Only",,"USW2-ESInstance:r7g.2xlarge","ESDomain",,"variable","64","us-west-2","Amazon OpenSearch Service"
"3GMPPYFTJUUU4JCC","38NPMPTW36","3GMPPYFTJUUU4JCC.38NPMPTW36.2TG2D8R56U","Reserved","Upfront Fee","2024-08-01",,,"Quantity","4671","USD","3yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","r7g.2xlarge.search","Yes","Memory optimized","8","EBS Only",,"USW2-ESInstance:r7g.2xlarge","ESDomain",,"variable","64","us-west-2","Amazon OpenSearch Service"
"3GMPPYFTJUUU4JCC","4NA7Y494T4","3GMPPYFTJUUU4JCC.4NA7Y494T4.6YS6EN2CT7","Reserved","AmazonOpenSearchService, r7g.2xlarge.search reserved instance applied","2024-08-01","0","Inf","Hrs","0.4910000000","USD","1yr","No Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","r7g.2xlarge.search","Yes","Memory optimized","8","EBS Only",,"USW2-ESInstance:r7g.2xlarge","ESDomain",,"variable","64","us-west-2","Amazon OpenSearch Service"
"3GMPPYFTJUUU4JCC","6QCMYABX3D","3GMPPYFTJUUU4JCC.6QCMYABX3D.6YS6EN2CT7","Reserved","AmazonOpenSearchService, r7g.2xlarge.search reserved instance applied","2024-08-01","0","Inf","Hrs","0.0000000000","USD","1yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","r7g.2xlarge.search","Yes","Memory optimized","8","EBS Only",,"USW2-ESInstance:r7g.2xlarge","ESDomain",,"variable","64","us-west-2","Amazon OpenSearch Service"
"3GMPPYFTJUUU4JCC","6QCMYABX3D","3GMPPYFTJUUU4JCC.6QCMYABX3D.2TG2D8R56U","Reserved","Upfront Fee","2024-08-01",,,"Quantity","4048","USD","1yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","r7g.2xlarge.search","Yes","Memory optimized","8","EBS Only",,"USW2-ESInstance:r7g.2xlarge","ESDomain",,"variable","64","us-west-2","Amazon OpenSearch Service"
"3GMPPYFTJUUU4JCC","BPH4J8HBKS","3GMPPYFTJUUU4JCC.BPH4J8HBKS.6YS6EN2CT7","Reserved","AmazonOpenSearchService, r7g.2xlarge.search reserved instance applied","2024-08-01","0","Inf","Hrs","0.3700000000","USD","3yr","No Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","r7g.2xlarge.search","Yes","Memory optimized","8","EBS Only",,"USW2-ESInstance:r7g.2xlarge","ESDomain",,"variable","64","us-west-2","Amazon OpenSearch Service"
"3GMPPYFTJUUU4JCC","HU7G6KETJZ","3GMPPYFTJUUU4JCC.HU7G6KETJZ.6YS6EN2CT7","Reserved","AmazonOpenSearchService, r7g.2xlarge.search reserved instance applied","2024-08-01","0","Inf","Hrs","0.2380000000","USD","1yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","r7g.2xlarge.search","Yes","Memory optimized","8","EBS Only",,"USW2-ESInstance:r7g.2xlarge","ESDomain",,"variable","64","us-west-2","Amazon OpenSearch Service"
